First,Last,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,Cockaponset,Nipmuck,Bimblers,Tunxis,total
Tom,McNulty,64.40,*,*,*,*,*,*,*,*,*,*,64.40
Paul,Funch,*,64.39,*,*,*,*,*,*,*,*,*,64.39
Paul,Viscontini,*,*,*,64.34,*,*,*,*,*,*,*,64.34
Paul,Mertzlufft,64.24,*,*,*,*,*,*,*,*,*,*,64.24
Michael,Crutchley,64.10,*,*,*,*,*,*,*,*,*,*,64.10
Dirk,Johnson,*,64.09,*,*,*,*,*,*,*,*,*,64.09
Jason,Ciaciura,*,*,*,*,*,*,*,63.88,*,*,*,63.88
Mark,Konopka,*,*,*,*,*,*,*,*,*,63.83,*,63.83
Ryan,Campbell,*,*,*,*,*,63.19,*,*,*,*,*,63.19
Jesse,Goodwin,*,*,*,*,*,*,*,*,63.16,*,*,63.16
Damien,Vega,*,*,*,*,*,*,*,*,62.99,*,*,62.99
Art,Byram,*,*,*,*,*,*,*,*,*,62.96,*,62.96
Tanvir,Manjur,*,*,62.88,*,*,*,*,*,*,*,*,62.88
Scott,Reeve,62.75,*,*,*,*,*,*,*,*,*,*,62.75
Peter,Newman,*,62.71,*,*,*,*,*,*,*,*,*,62.71
Andrew,Kortfelt,*,*,*,*,*,*,*,*,*,62.42,*,62.42
Stephen,Dinsmore,*,*,*,*,62.21,*,*,*,*,*,*,62.21
Christopher,Martin,*,*,*,*,*,*,*,62.18,*,*,*,62.18
Joey,Madore,*,*,*,*,*,*,61.87,*,*,*,*,61.87
Robert,Tagliaferi,*,61.76,*,*,*,*,*,*,*,*,*,61.76
Stephen,Hill,*,61.67,*,*,*,*,*,*,*,*,*,61.67
Coleman,Hill,*,61.64,*,*,*,*,*,*,*,*,*,61.64
Kevin,Mullen,*,*,*,61.53,*,*,*,*,*,*,*,61.53
Jeremy,Titus,61.43,*,*,*,*,*,*,*,*,*,*,61.43
Bruce,Cooke,60.93,*,*,*,*,*,*,*,*,*,*,60.93
Sheldon,Schake,*,*,*,*,*,60.88,*,*,*,*,*,60.88
Sean,Mallon,*,*,*,*,*,*,*,*,*,60.59,*,60.59
Chris,Featherman,*,*,*,60.56,*,*,*,*,*,*,*,60.56
Geno,Ayala,*,*,*,*,60.50,*,*,*,*,*,*,60.50
Dan,Broom,*,*,*,*,*,*,*,*,*,60.50,*,60.50
Chris,Bridge,*,*,*,*,*,*,*,*,*,60.37,*,60.37
Scott,Vezina,*,*,*,*,*,60.35,*,*,*,*,*,60.35
John,Coutsakis,*,*,*,*,*,*,*,*,*,*,60.25,60.25
David,Backeberg,*,*,*,*,*,*,*,*,*,60.16,*,60.16
